time,cell_voltages_a[0],cell_voltages_a[1],cell_voltages_a[2],cell_voltages_a[3],cell_voltages_a[4],cell_voltages_a[5],cell_voltages_a[6],cell_voltages_a[7],cell_voltages_a[8],cell_voltages_a[9],cell_voltages_a[10],cell_voltages_a[11],cell_voltages_a[12],cell_voltages_a[13],cell_voltages_a[14],cell_voltages_a[15],cell_voltages_a[16],cell_voltages_a[17],cell_voltages_a[18],cell_voltages_a[19]
0.169200,1308.031968,1273.375371,1259.479884,1360.276313,1319.914203,1394.288189,22.367076,4095.085726,1354.434117,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,-749.525258,1342.624056,1110.732369,1110.726815
0.169300,1308.031968,0.000000,11429.399972,1377.448224,1319.914203,1511.363147,31.524090,2704.941659,1354.434117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-872.572966,1319.762421,9292.763418,7839.422590
0.169400,1308.031968,0.000000,0.000000,1363.501875,1319.914203,1626.946572,27.636186,4040.861603,1343.948849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-994.759549,1319.762421,0.000000,0.000000
0.169500,0.000000,0.000000,1132.621419,1190.921565,0.000000,1740.924397,23.811541,2667.247953,1337.498296,1308.792330,1300.536120,1294.198538,1287.693405,1280.222923,1272.994825,1265.202911,-1115.964424,1312.814455,1178.822111,1178.816217
0.169600,0.000000,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,1101.770173,1189.032728,0.000000,1853.184140,33.644001,4002.029662,1319.723516,1239.330385,1239.324189,1239.317992,1239.311796,1239.305599,1239.299402,1239.293206,-1236.067977,1311.252362,1226.383112,1226.376980
0.169700,1325.854486,0.000000,1099.426369,1192.162229,1362.087879,0.000000,30.171828,4021.187425,1319.887804,1226.391226,1218.135427,1218.129337,1218.123246,1218.117155,1218.111065,1218.104974,-1354.951681,1311.252362,1232.768181,1244.603484
0.169800,1319.933880,0.000000,1117.493921,1175.640345,1357.971325,0.000000,26.758472,2677.333132,1319.887804,1226.391226,1218.135427,1211.798257,1205.293536,1197.823467,1190.595781,1182.804278,-1472.498211,1300.768091,1213.978468,1225.813866
0.169900,1315.591920,0.000000,1110.940711,1170.500288,1361.043430,0.000000,0.000000,4034.440834,1319.887804,1226.391226,1218.135427,1211.798257,1205.293536,1197.823467,1190.595781,1182.804278,-1588.591563,1297.635221,1230.958511,1230.952356
0.170000,1315.591920,0.000000,1134.003166,1177.498129,1342.870864,-16527416319083767533201341363272921813863382411596501167285198381397062268391876504650737734056540351868621043307879335387164753205366095872.000000,0.000000,4054.599817,1319.887804,1226.391226,1218.135427,1211.798257,1205.293536,1197.823467,1190.595781,1182.804278,-1703.117166,1299.591026,1239.753231,1239.747032
0.170100,1315.591920,0.000000,1097.923961,1196.830695,1344.065281,-2317.124689,0.000000,0.000000,0.000000,1226.391226,1218.135427,1211.798257,1205.293536,1197.823467,1190.595781,1182.804278,0.000000,1298.887389,1302.956137,1302.949623
